species_original,species_clean,plant_fam_count,plant_gen_count,bee_family,bee_genus
Eucera nigrifacies,Eucera nigrifacies,1,3,Apidae,Eucera
Eucera nigrilabris,Eucera nigrilabris,4,10,Apidae,Eucera
Eucera notata,Eucera notata,3,8,Apidae,Eucera
Eucera strigata,Eucera strigata,1,1,Apidae,Eucera
Eucera taurica,Eucera taurica,1,3,Apidae,Eucera
Flavipanurgus kastiliensis,Flavipanurgus kastiliensis,1,1,Andrenidae,Flavipanurgus
Halictus confusus,Halictus confusus,14,23,Halictidae,Halictus
Halictus crenicornis,Halictus crenicornis,12,15,Halictidae,Halictus
Halictus eurygnathus,Halictus eurygnathus,4,5,Halictidae,Halictus
Halictus ligatus,Halictus ligatus,5,19,Halictidae,Halictus
Halictus maculatus,Halictus maculatus,7,12,Halictidae,Halictus
Halictus pollinosus,Halictus pollinosus,5,7,Halictidae,Halictus
Halictus quadricinctus,Halictus quadricinctus,5,13,Halictidae,Halictus
Halictus rubicundus,Halictus rubicundus,14,22,Halictidae,Halictus
Halictus scabiosae,Halictus scabiosae,7,17,Halictidae,Halictus
Halictus subauratus,Halictus subauratus,11,18,Halictidae,Halictus
Halictus tumulorum,Halictus tumulorum,14,25,Halictidae,Halictus
Heriades carinata,Heriades carinata,4,4,Megachilidae,Heriades
Hoplitis pilosifrons,Hoplitis pilosifrons,2,6,Megachilidae,Hoplitis
Hoplitis producta,Hoplitis producta,4,7,Megachilidae,Hoplitis
Lasioglossum acuminatum,Lasioglossum acuminatum,10,11,Halictidae,Lasioglossum
Lasioglossum albipes,Lasioglossum albipes,8,16,Halictidae,Lasioglossum
Lasioglossum albocinctum,Lasioglossum albocinctum,3,5,Halictidae,Lasioglossum
Lasioglossum anomalum,Lasioglossum anomalum,6,7,Halictidae,Lasioglossum
Lasioglossum bimaculatum,Lasioglossum bimaculatum,5,6,Halictidae,Lasioglossum
Lasioglossum brevicorne,Lasioglossum brevicorne,3,4,Halictidae,Lasioglossum
Lasioglossum calceatum,Lasioglossum calceatum,21,38,Halictidae,Lasioglossum
Lasioglossum cattellae,Lasioglossum cattellae,5,5,Halictidae,Lasioglossum
Lasioglossum cinctipes,Lasioglossum cinctipes,9,11,Halictidae,Lasioglossum
Lasioglossum convexiusculum,Lasioglossum convexiusculum,1,1,Halictidae,Lasioglossum
Lasioglossum coriaceum,Lasioglossum coriaceum,9,12,Halictidae,Lasioglossum
Lasioglossum corvinum,Lasioglossum corvinum,2,4,Halictidae,Lasioglossum
Lasioglossum cressonii,Lasioglossum cressonii,15,21,Halictidae,Lasioglossum
Lasioglossum discum,Lasioglossum discum,5,8,Halictidae,Lasioglossum
Lasioglossum foxii,Lasioglossum foxii,4,5,Halictidae,Lasioglossum
