"","all_hulls$species","species"
"604","Lithurgus chrysurus","Lithurgus chrysurus"
"605","Megachile alpicola","Megachile alpicola"
"606","Megachile analis","Megachile analis"
"607","Megachile apicalis","Megachile apicalis"
"608","Megachile centuncularis","Megachile centuncularis"
"609","Megachile ericetorum","Megachile ericetorum"
"610","Megachile flabellipes","Megachile flabellipes"
"611","Megachile latimanus","Megachile latimanus"
"612","Megachile maritima","Megachile maritima"
"613","Megachile mendica","Megachile mendica"
"614","Megachile nigriventris","Megachile nigriventris"
"615","Megachile pilicrus","Megachile pilicrus"
"616","Megachile pugnata","Megachile pugnata"
"617","Megachile rotundata","Megachile rotundata"
"618","Osmia alticola","Osmia alticola"
"619","Osmia anceyi","Osmia anceyi"
"620","Osmia andrenoides","Osmia andrenoides"
"621","Osmia apicata","Osmia apicata"
"622","Osmia argyropyga","Osmia argyropyga"
"623","Osmia atriventris","Osmia atriventris"
"624","Osmia aurulenta","Osmia aurulenta"
"625","Osmia avosetta","Osmia avosetta"
"626","Osmia balearica","Osmia balearica"
"627","Osmia bicornis","Osmia bicornis"
"628","Osmia bidentata","Osmia bidentata"
"629","Osmia brevicornis","Osmia brevicornis"
"630","Osmia brevis","Osmia brevis"
"631","Osmia bucephala","Osmia bucephala"
"632","Osmia caerulescens","Osmia caerulescens"
"633","Osmia californica","Osmia californica"
"634","Osmia carbo","Osmia carbo"
"635","Osmia cerinthidis","Osmia cerinthidis"
"636","Osmia conjuncta","Osmia conjuncta"
"637","Osmia cornifrons","Osmia cornifrons"
"638","Osmia cornuta","Osmia cornuta"
"639","Osmia croatica","Osmia croatica"
"640","Osmia difficilis","Osmia difficilis"
"641","Osmia distinguenda","Osmia distinguenda"
"642","Osmia emarginata","Osmia emarginata"
"643","Osmia excavata","Osmia excavata"
"644","Osmia fedtschenkoi","Osmia fedtschenkoi"
"645","Osmia gallarum","Osmia gallarum"
"646","Osmia glareola","Osmia glareola"
"647","Osmia inermis","Osmia inermis"
"648","Osmia labialis","Osmia labialis"
"649","Osmia laticeps","Osmia laticeps"
"650","Osmia leaiana","Osmia leaiana"
"651","Osmia lignaria","Osmia lignaria"
"652","Osmia ligurica","Osmia ligurica"
"653","Osmia lunata","Osmia lunata"
"654","Osmia maxillaris","Osmia maxillaris"
"655","Osmia melanocephala","Osmia melanocephala"
"656","Osmia montana","Osmia montana"
"657","Osmia mustelina","Osmia mustelina"
"658","Osmia nigriventris","Osmia nigriventris"
"659","Osmia nigrohirta","Osmia nigrohirta"
"660","Osmia niveata","Osmia niveata"
"661","Osmia padri","Osmia padri"
"662","Osmia parietina","Osmia parietina"
"663","Osmia pedicornis","Osmia pedicornis"
"664","Osmia pilicornis","Osmia pilicornis"
"665","Osmia pinguis","Osmia pinguis"
"666","Osmia pumila","Osmia pumila"
"667","Osmia rhodoensis","Osmia rhodoensis"
"668","Osmia ribifloris","Osmia ribifloris"
"669","Osmia scheherazade","Osmia scheherazade"
"670","Osmia scutellaris","Osmia scutellaris"
"671","Osmia spinigera","Osmia spinigera"
"672","Osmia spinulosa","Osmia spinulosa"
"673","Osmia steinmanni","Osmia steinmanni"
"674","Osmia taurus","Osmia taurus"
"675","Osmia tergestensis","Osmia tergestensis"
"676","Osmia tricornis","Osmia tricornis"
"677","Osmia uncicornis","Osmia uncicornis"
"678","Osmia uncinata","Osmia uncinata"
"679","Osmia xanthomelana","Osmia xanthomelana"
"680","Othinosmia schultzei","Othinosmia schultzei"
