flag,sp_wood_og,sp_wood_clean,,sp_dorey
,Lasioglossum gotham,Lasioglossum gotham,,
,Lasioglossum heterognathum,Lasioglossum heterognathum,,
,Lasioglossum hitchensi,Lasioglossum hitchensi,,
,Lasioglossum imitatum,Lasioglossum imitatum,,
,Lasioglossum immunitum,Lasioglossum immunitum,,
,Lasioglossum interruptum,Lasioglossum interruptum,,
,Lasioglossum laevigatum,Lasioglossum laevigatum,,
,Lasioglossum laevissimum,Lasioglossum laevissimum,,
,Lasioglossum laticeps,Lasioglossum laticeps,,
,Lasioglossum lativentre,Lasioglossum lativentre,,
,Lasioglossum leucocomum,Lasioglossum leucocomum,,
,Lasioglossum leucopus,Lasioglossum leucopus,,
,Lasioglossum leucozonium,Lasioglossum leucozonium,,
,Lasioglossum limbellum,Lasioglossum limbellum,,
,Lasioglossum lineatulum,Lasioglossum lineatulum,,
,Lasioglossum lustrans,Lasioglossum lustrans,,
,Lasioglossum macoupinense,Lasioglossum macoupinense,,
,Lasioglossum malachurum,Lasioglossum malachurum,,
,Lasioglossum mandibulare,Lasioglossum mandibulare,,
,Lasioglossum marginatum,Lasioglossum marginatum,,
,Lasioglossum maurusium,Lasioglossum maurusium,,
,Lasioglossum mediterraneum,Lasioglossum mediterraneum,,
,Lasioglossum minutissimum,Lasioglossum minutissimum,,
,Lasioglossum monstrificum,Lasioglossum monstrificum,,
,Lasioglossum morio,Lasioglossum morio,,
,Lasioglossum nigripes,Lasioglossum nigripes,,
,Lasioglossum nigroviride,Lasioglossum nigroviride,,
,Lasioglossum nitidulum,Lasioglossum nitidulum,,
,Lasioglossum oblongum,Lasioglossum oblongum,,
,Lasioglossum obscurum,Lasioglossum obscurum,,
,Lasioglossum oceanicum,Lasioglossum oceanicum,,
,Lasioglossum pallens,Lasioglossum pallens,,
,Lasioglossum paradmirandum,Lasioglossum paradmirandum,,
,Lasioglossum paraforbesii,Lasioglossum paraforbesii,,
,Lasioglossum parvulum,Lasioglossum parvulum,,
,Lasioglossum pauperatum,Lasioglossum pauperatum,,
,Lasioglossum pauxillum,Lasioglossum pauxillum,,
,Lasioglossum pectorale,Lasioglossum pectorale,,
,Lasioglossum perclavipes,Lasioglossum perclavipes,,
,Lasioglossum perpunctatum,Lasioglossum perpunctatum,,
,Lasioglossum pictum,Lasioglossum pictum,,
,Lasioglossum pilosum,Lasioglossum pilosum,,
,Lasioglossum planatum,Lasioglossum planatum,,
