beeFamily,species,Loads,dietFamily
Halictidae,Agapostemon sericeus,17,6
Halictidae,Agapostemon virescens,12,4
Halictidae,Augochlora pura,17,10
Halictidae,Augochlorella aurata,28,13
Halictidae,Augochloropsis viridula,12,7
Halictidae,Ceblurgus longipalpis,10,1
Halictidae,Dufourea alpina,50,4
Halictidae,Dufourea dentiventris,NA,1
Halictidae,Dufourea halictula,NA,1
Halictidae,Dufourea inermis,NA,1
Halictidae,Dufourea minuta,NA,1
Halictidae,Dufourea monardae,10,1
Halictidae,Dufourea paradoxa,46,8
Halictidae,Halictus confusus,26,11
Halictidae,Halictus crenicornis,11,12
Halictidae,Halictus ligatus,34,1
Halictidae,Halictus maculatus,13,5
Halictidae,Halictus pollinosus,10,5
Halictidae,Halictus quadricinctus,25,4
Halictidae,Halictus rubicundus,16,9
Halictidae,Halictus scabiosae,33,3
Halictidae,Halictus subauratus,21,10
Halictidae,Halictus tumulorum,26,11
Halictidae,Lasioglossum acuminatum,20,8
Halictidae,Lasioglossum albipes,12,8
Halictidae,Lasioglossum albocinctum,22,5
Halictidae,Lasioglossum anomalum,12,6
Halictidae,Lasioglossum bimaculatum,15,3
Halictidae,Lasioglossum brevicorne,26,1
Halictidae,Lasioglossum calceatum,43,11
Halictidae,Lasioglossum cinctipes,22,7
Halictidae,Lasioglossum clypeare,16,1
Halictidae,Lasioglossum convexiusculum,14,1
Halictidae,Lasioglossum coriaceum,24,5
Halictidae,Lasioglossum corvinum,12,1
Halictidae,Lasioglossum costulatum,32,2
Halictidae,Lasioglossum cressonii,28,8
Halictidae,Lasioglossum cupromicans,23,12
Halictidae,Lasioglossum discum,36,3
Halictidae,Lasioglossum euboeense,13,4
Halictidae,Lasioglossum foxii,14,3
Halictidae,Lasioglossum fulvicorne,19,6
Halictidae,Lasioglossum fynbosensis,51,3
Halictidae,Lasioglossum glabriusculum,25,10
Halictidae,Lasioglossum hitchensi,18,9
Halictidae,Lasioglossum imitatum,23,9
Halictidae,Lasioglossum immunitum,18,4
Halictidae,Lasioglossum intermedium,13,6
Halictidae,Lasioglossum interruptum,26,10
Halictidae,Lasioglossum laevigatum,18,9
Halictidae,Lasioglossum laevissimum,19,8
Halictidae,Lasioglossum laticeps,18,13
Halictidae,Lasioglossum lativentre,26,3
Halictidae,Lasioglossum leucocomum,18,8
Halictidae,Lasioglossum leucopus,12,5
Halictidae,Lasioglossum leucozonium,45,3
Halictidae,Lasioglossum lineatulum,23,8
Halictidae,Lasioglossum lissonotum,12,9
Halictidae,Lasioglossum macoupinense,11,3
Halictidae,Lasioglossum malachurum,437,4
Halictidae,Lasioglossum mediterraneum,19,13
Halictidae,Lasioglossum monstrificum,10,7
Halictidae,Lasioglossum morio,29,13
Halictidae,Lasioglossum nigripes,18,4
Halictidae,Lasioglossum pallens,28,2
Halictidae,Lasioglossum paradmirandum,15,9
Halictidae,Lasioglossum paraforbesii,15,8
Halictidae,Lasioglossum parvulum,15,9
Halictidae,Lasioglossum pauperatum,11,8
Halictidae,Lasioglossum pauxillum,74,7
Halictidae,Lasioglossum pectorale,24,7
Halictidae,Lasioglossum perpunctatum,12,4
Halictidae,Lasioglossum pilosum,25,10
Halictidae,Lasioglossum prasinum,15,4
Halictidae,Lasioglossum punctatissimum,11,5
Halictidae,Lasioglossum puncticolle,17,1
Halictidae,Lasioglossum quebecense,15,9
Halictidae,Lasioglossum tricinctum,28,9
Halictidae,Lasioglossum versans,13,8
Halictidae,Lasioglossum versatum,27,11
Halictidae,Lasioglossum villosulum,46,1
Halictidae,Lasioglossum xanthopus,27,6
Halictidae,Lasioglossum zephyrum,13,8
Halictidae,Lasioglossum zonulum,16,9
Halictidae,Lipotriches cinerascens,10,1
Halictidae,Lipotriches cribrosa,10,1
Halictidae,Lipotriches hylaeoides,10,1
Halictidae,Lipotriches tanganyicensis,10,1
Halictidae,Meganomia binghami,23,4
Halictidae,Nomiapis diversipes,19,10
Halictidae,Nomiapis paulyi,10,6
Halictidae,Patellapis communis,39,1
Halictidae,Rhopitoides canus,NA,1
Halictidae,Rophites algirus,24,1
Halictidae,Rophites quinquespinosus,NA,1
Halictidae,Systropha curvicornis,NA,1
Halictidae,Systropha planidens,NA,1
Megachilidae,Afranthidium alternans,20,1
Megachilidae,Afranthidium carduele,35,1
Megachilidae,Afranthidium pusillum,13,1
Megachilidae,Afranthidium schulthessi,23,1
Megachilidae,Anthidiellum breviusculum,24,3
Megachilidae,Anthidiellum strigatum,57,5
Megachilidae,Anthidiellum troodicum,34,3
Megachilidae,Anthidium anguliventre,20,1
Megachilidae,Anthidium auritum,17,7
Megachilidae,Anthidium cingulatum,50,5
Megachilidae,Anthidium dalmaticum,24,3
Megachilidae,Anthidium diadema,39,2
Megachilidae,Anthidium echinatum,17,5
Megachilidae,Anthidium florentinum,45,7
Megachilidae,Anthidium loti,42,3
Megachilidae,Anthidium luctuosum,10,1
Megachilidae,Anthidium manicatum,54,4
Megachilidae,Anthidium montanum,35,1
Megachilidae,Anthidium oblongatum,55,5
Megachilidae,Anthidium punctatum,47,3
Megachilidae,Anthidium septemspinosum,35,6
Megachilidae,Anthidium spiniventre,23,1
Megachilidae,Anthidium taeniatum,40,3
Megachilidae,Anthidium tesselatum,19,1
Megachilidae,Anthidium undulatum,27,4
Megachilidae,Anthidium waltlii,17,1
Megachilidae,Anthidium wüstneii,13,1
Megachilidae,Chelostoma aureocinctum,10,1
Megachilidae,Chelostoma californicum,36,1
Megachilidae,Chelostoma campanularum,34,1
Megachilidae,Chelostoma carinulum,10,1
Megachilidae,Chelostoma cockrelli,14,1
Megachilidae,Chelostoma diodon,36,1
Megachilidae,Chelostoma distinctum,18,1
Megachilidae,Chelostoma edentulum,28,2
Megachilidae,Chelostoma emarginatum,32,1
Megachilidae,Chelostoma florisomne,46,1
Megachilidae,Chelostoma foveolatum,15,1
Megachilidae,Chelostoma garrulum,10,1
Megachilidae,Chelostoma grande,20,1
Megachilidae,Chelostoma hellenicum,11,1
Megachilidae,Chelostoma incisulum,29,2
Megachilidae,Chelostoma laticaudum,15,1
Megachilidae,Chelostoma minutum,18,2
Megachilidae,Chelostoma mocsaryi,56,1
Megachilidae,Chelostoma nasutum,24,1
Megachilidae,Chelostoma phaceliae,46,1
Megachilidae,Chelostoma philadelphi,21,1
Megachilidae,Chelostoma rapunculi,36,1
Megachilidae,Chelostoma styriacum,11,1
Megachilidae,Chelostoma transversum,21,1
Megachilidae,Chelostoma ventrale,34,1
Megachilidae,Eoanthidium clypeare,22,7
Megachilidae,Eoanthidium insulare,25,7
Megachilidae,Haetosmia circumventa,54,1
Megachilidae,Haetosmia vechti,11,1
Megachilidae,Heriades carinata,10,3
Megachilidae,Hofferia mauritanica,27,1
Megachilidae,Hofferia schmiedeknechti,15,1
Megachilidae,Hoplitis adunca,50,1
Megachilidae,Hoplitis africana,20,1
Megachilidae,Hoplitis alli,13,1
Megachilidae,Hoplitis annulata,50,1
Megachilidae,Hoplitis anthocopoides,50,1
Megachilidae,Hoplitis aqabaensis,11,1
Megachilidae,Hoplitis bassana,22,1
Megachilidae,Hoplitis benoisti,57,1
Megachilidae,Hoplitis bihamata,22,3
Megachilidae,Hoplitis brunnescens,30,3
Megachilidae,Hoplitis carinata,50,1
Megachilidae,Hoplitis christae,16,1
Megachilidae,Hoplitis cristatula,NA,1
Megachilidae,Hoplitis ctenophora,33,2
Megachilidae,Hoplitis fabrei,38,3
Megachilidae,Hoplitis fertoni,53,1
Megachilidae,Hoplitis flabellifera,49,2
Megachilidae,Hoplitis flavicornis,11,1
Megachilidae,Hoplitis gobiensis,19,1
Megachilidae,Hoplitis haplophylli,16,1
Megachilidae,Hoplitis hartliebi,10,1
Megachilidae,Hoplitis heinrichi,15,1
Megachilidae,Hoplitis hierichonica,50,1
Megachilidae,Hoplitis hoggara,27,1
Megachilidae,Hoplitis holmboei,21,1
Megachilidae,Hoplitis homalocera,11,1
Megachilidae,Hoplitis illustris,18,1
Megachilidae,Hoplitis insularis,26,2
Megachilidae,Hoplitis israelica,32,1
Megachilidae,Hoplitis jheringii,12,1
Megachilidae,Hoplitis jordanica,10,3
Megachilidae,Hoplitis lepeletieri,50,1
Megachilidae,Hoplitis loti,38,3
Megachilidae,Hoplitis lysholmi,13,1
Megachilidae,Hoplitis maghrebensis,20,1
Megachilidae,Hoplitis manicata,68,1
Megachilidae,Hoplitis marchali,48,1
Megachilidae,Hoplitis maritima,NA,1
Megachilidae,Hoplitis minima,39,1
Megachilidae,Hoplitis mitis,NA,1
Megachilidae,Hoplitis monstrabilis,39,1
Megachilidae,Hoplitis mucida,50,1
Megachilidae,Hoplitis nisa,42,1
Megachilidae,Hoplitis onychophora,20,1
Megachilidae,Hoplitis oreades,39,1
Megachilidae,Hoplitis pallicornis,50,3
Megachilidae,Hoplitis parana,39,1
Megachilidae,Hoplitis pici,22,1
Megachilidae,Hoplitis pilosifrons,12,2
Megachilidae,Hoplitis praestans,13,1
