"","species","total_area"
"500","Megachile montivaga",28575475065261.3
"501","Megachile mucida",8112417042533.61
"502","Megachile octosignata",4057114206093.79
"503","Megachile petulans",8457274204501.94
"504","Megachile pilidens",8231565602279.2
"505","Megachile pugnata",19486486315610.3
"506","Megachile relativa",30589196341563.4
"507","Megachile rotundata",148567967474492
"508","Megachile sculpturalis",46206162738318.9
"509","Megachile texana",15155263022456.8
"510","Megachile versicolor",16414548841661.9
"511","Megachile willughbiella",55002003082710
"512","Melissodes agilis",15366325816629.9
"513","Melissodes bimaculatus",16683206435569.1
"514","Melissodes communis",13399947172898.5
"515","Melissodes denticulatus",7662494987228.73
"516","Melissodes desponsus",10426147399681.5
"517","Melissodes druriellus",16103639464997
"518","Melissodes illatus",7838974608863.41
"519","Melissodes subillatus",10986367809647.8
"520","Melissodes trinodis",11662699060904.7
"521","Melitta haemorrhoidalis",10472629871066.8
"522","Melitta leporina",30977139352969.3
"523","Melitta nigricans",9188174041662.64
"524","Melitta tricincta",5827073658620.67
"525","Melitturga caudata",132583201412.252
"526","Osmia atriventris",12795980370725.7
"527","Osmia bicolor",21925880360470
"528","Osmia bicornis",36359912255140.8
"529","Osmia brevicornis",14063870802502.9
"530","Osmia bucephala",28538445038936.7
"531","Osmia caerulescens",119944980878859
"532","Osmia conjuncta",3847750917233.98
"533","Osmia cornifrons",28109394956122.4
"534","Osmia cornuta",12828503421309.5
"535","Osmia distincta",4421792658495.13
"536","Osmia emarginata",152770073064.045
"537","Osmia georgica",8416417322375.77
"538","Osmia leaiana",31124848333077.7
"539","Osmia lignaria",17963553998667.1
"540","Osmia nigriventris",93994788642129.7
"541","Osmia parietina",44027977416717.3
"542","Osmia pumila",6159886784853.66
"543","Osmia rufohirta",7833121901046.86
"544","Osmia simillima",16637900976121
"545","Osmia spinulosa",18553544695761.4
"546","Osmia texana",13505620002709.8
"547","Osmia uncicornis",27544305521.7083
"548","Osmia virga",3745754802308.47
"549","Panurginus albopilosus",923439272657.018
"550","Panurgus canescens",544561470020.412
"551","Panurgus cephalotes",295058008015.569
"552","Panurgus convergens",1211754856.26044
"553","Panurgus maroccanus",94985061055.5641
"554","Panurgus nigriscopus",575465148846.935
"555","Panurgus perezi",101465017500.661
"556","Panurgus rungsii",24926705933.1878
"557","Perdita bequaerti",7152860478246.04
"558","Perdita halictoides",8758531665819.85
"559","Perdita maculigera",5654163796466.54
"560","Perdita octomaculata",9431645132135.08
"561","Trachusa byssina",26928053229499
"562","Trachusa interrupta",2001128255298.15
"563","Xylocopa iris",12554956075281.1
"564","Xylocopa virginica",33866791828874.6
