bee_species,bee_genus,bee_family,range_size_m2,pollen_genera_count,pollen_families_count,diet_binary_genus,diet_binary_family,no_records_in_Dorey,bee_family_n,bee_species_original_wood
Andrena scotica,Andrena,Andrenidae,7933577181883,28,16,generalist,generalist,7856,Andrenidae (n = 168),Andrena scotica
Andrena argentata,Andrena,Andrenidae,8018262195237,7,5,generalist,generalist,1925,Andrenidae (n = 168),Andrena argentata
Lasioglossum versatum,Lasioglossum,Halictidae,8073335906118,20,13,generalist,generalist,11759,Halictidae (n = 72),Lasioglossum versatum
Colletes americanus,Colletes,Colletidae,8124830938063,1,1,genus specialist,specialist,828,Colletidae (n = 10),Colletes americanus
Megachile pilidens,Megachile,Megachilidae,8231565602279,13,7,generalist,generalist,1652,Megachilidae (n = 20),Megachile pilidens
Andrena andrenoides,Andrena,Andrenidae,8378035336668,1,1,genus specialist,specialist,838,Andrenidae (n = 168),Andrena andrenoides
Bombus pomorum,Bombus,Apidae,8535264746004,30,12,generalist,generalist,647,Apidae (n = 83),Bombus pomorum
Lasioglossum pectorale,Lasioglossum,Halictidae,9093213167850,25,12,generalist,generalist,4048,Halictidae (n = 72),Lasioglossum pectorale
Ceratina dupla,Ceratina,Apidae,9106437276563,17,10,generalist,generalist,6687,Apidae (n = 83),Ceratina dupla
Andrena propinqua,Andrena,Andrenidae,9108133644219,23,15,generalist,generalist,767,Andrenidae (n = 168),Andrena propinqua
Lasioglossum macoupinense,Lasioglossum,Halictidae,9168945674280,10,8,generalist,generalist,450,Halictidae (n = 72),Lasioglossum macoupinense
Andrena hirticincta,Andrena,Andrenidae,9176250544358,1,1,genus specialist,specialist,2310,Andrenidae (n = 168),Andrena hirticincta
Lasioglossum paraforbesii,Lasioglossum,Halictidae,9306992451688,9,8,generalist,generalist,645,Halictidae (n = 72),Lasioglossum paraforbesii
Andrena nubecula,Andrena,Andrenidae,9357851721551,1,1,genus specialist,specialist,1643,Andrenidae (n = 168),Andrena nubecula
Eucera interrupta,Eucera,Apidae,9377715064723,7,1,generalist,specialist,285,Apidae (n = 83),Eucera interrupta
Perdita octomaculata,Perdita,Andrenidae,9431645132135,1,1,genus specialist,specialist,1235,Andrenidae (n = 168),Perdita octomaculata
Lasioglossum lineatulum,Lasioglossum,Halictidae,9461253862633,16,13,generalist,generalist,1731,Halictidae (n = 72),Lasioglossum lineatulum
Andrena marginata,Andrena,Andrenidae,9536595049316,7,5,generalist,generalist,3291,Andrenidae (n = 168),Andrena marginata
Ceratina calcarata,Ceratina,Apidae,9543188778048,19,10,generalist,generalist,14476,Apidae (n = 83),Ceratina calcarata
Halictus pollinosus,Halictus,Halictidae,9556530149800,7,5,generalist,generalist,83,Halictidae (n = 72),Halictus pollinosus
Lasioglossum perpunctatum,Lasioglossum,Halictidae,9617640002194,15,7,generalist,generalist,497,Halictidae (n = 72),Lasioglossum perpunctatum
Andrena morio,Andrena,Andrenidae,9688774407810,7,5,generalist,generalist,239,Andrenidae (n = 168),Andrena morio
Andrena canadensis,Andrena,Andrenidae,9859209983050,1,1,genus specialist,specialist,581,Andrenidae (n = 168),Andrena canadensis
Andrena platyparia,Andrena,Andrenidae,9957472114675,1,1,genus specialist,specialist,422,Andrenidae (n = 168),Andrena platyparia
Lasioglossum coriaceum,Lasioglossum,Halictidae,10164600318019,12,9,generalist,generalist,4670,Halictidae (n = 72),Lasioglossum coriaceum
Andrena perplexa,Andrena,Andrenidae,10170543453009,16,12,generalist,generalist,3674,Andrenidae (n = 168),Andrena perplexa
Andrena ovatula,Andrena,Andrenidae,10175279587292,14,2,generalist,generalist,5559,Andrenidae (n = 168),Andrena ovatula
Bombus argillaceus,Bombus,Apidae,10210274041403,34,11,generalist,generalist,1179,Apidae (n = 83),Bombus argillaceus
Lasioglossum nigroviride,Lasioglossum,Halictidae,10278810136842,6,5,generalist,generalist,526,Halictidae (n = 72),Lasioglossum nigroviride
Bombus alpinus,Bombus,Apidae,10387721217680,8,6,generalist,generalist,1496,Apidae (n = 83),Bombus alpinus
Melissodes desponsus,Melissodes,Apidae,10426147399682,1,1,genus specialist,specialist,2673,Apidae (n = 83),Melissodes desponsus
Halictus scabiosae,Halictus,Halictidae,10465687163977,17,7,generalist,generalist,14952,Halictidae (n = 72),Halictus scabiosae
Lasioglossum lativentre,Lasioglossum,Halictidae,10581644098091,10,6,generalist,generalist,2824,Halictidae (n = 72),Lasioglossum lativentre
Andrena helianthi,Andrena,Andrenidae,10692266948146,1,1,genus specialist,specialist,1112,Andrenidae (n = 168),Andrena helianthi
Andrena fuscosa,Andrena,Andrenidae,10752337386417,9,8,generalist,generalist,120,Andrenidae (n = 168),Andrena fuscosa
Lasioglossum sexnotatum,Lasioglossum,Halictidae,10862937485181,9,12,generalist,generalist,4036,Halictidae (n = 72),Lasioglossum sexnotatum
Andrena albopunctata,Andrena,Andrenidae,10914137584628,10,9,generalist,generalist,118,Andrenidae (n = 168),Andrena albopunctata
Andrena commoda,Andrena,Andrenidae,10953779542544,11,9,generalist,generalist,1134,Andrenidae (n = 168),Andrena commoda
