"","species_original","species","plant_fam_count","plant_gen_count","bee_family","bee_genus","...1","total_area","area","log_fam","log_gen","log_area","bee_family_n","area_ha","log_area_ha","area_km","log_area_km"
"80","Andrena lagopus","Andrena lagopus",1,1,"Andrenidae","Andrena",109,2976934213493.19,2976934213493.19,0,0,28.7219150994625,"Andrenidae (n = 168)",297693421.349319,19.5115747274863,2976934.21349319,14.9064045414982
"81","Andrena leptopyga","Andrena leptopyga",4,5,"Andrenidae","Andrena",113,89706161649.5601,89706161649.5601,1.38629436111989,1.6094379124341,25.2198052953974,"Andrenidae (n = 168)",8970616.16495601,16.0094649234212,89706.1616495601,11.4042947374331
"82","Andrena leucolippa","Andrena leucolippa",1,1,"Andrenidae","Andrena",114,785393038985.735,785393038985.735,0,0,27.3894501160331,"Andrenidae (n = 168)",78539303.8985735,18.179109744057,785393.038985735,13.5739395580689
"83","Andrena limata","Andrena limata",7,10,"Andrenidae","Andrena",117,12889684186622.3,12889684186622.3,1.94591014905531,2.30258509299405,30.1874484319296,"Andrenidae (n = 168)",1288968418.66223,20.9771080599534,12889684.1866223,16.3719378739653
"84","Andrena longibarbis","Andrena longibarbis",2,4,"Andrenidae","Andrena",119,396923820408.939,396923820408.939,0.693147180559945,1.38629436111989,26.707010211082,"Andrenidae (n = 168)",39692382.0408939,17.4966698391058,396923.820408939,12.8914996531177
"85","Andrena mandibularis","Andrena mandibularis",7,8,"Andrenidae","Andrena",120,13576989891281.2,13576989891281.2,1.94591014905531,2.07944154167984,30.2393975559991,"Andrenidae (n = 168)",1357698989.12812,21.0290571840229,13576989.8912812,16.4238869980348
"86","Andrena marginata","Andrena marginata",5,7,"Andrenidae","Andrena",121,9536595049316.32,9536595049316.32,1.6094379124341,1.94591014905531,29.8861576246105,"Andrenidae (n = 168)",953659504.931632,20.6758172526344,9536595.04931632,16.0706470666463
"87","Andrena melittoides","Andrena melittoides",8,11,"Andrenidae","Andrena",123,2819777068.43652,2819777068.43652,2.07944154167984,2.39789527279837,21.7599236650256,"Andrenidae (n = 168)",281977.706843652,12.5495832930494,2819.77706843652,7.94441310706133
"88","Andrena minapalumboi","Andrena minapalumboi",1,2,"Andrenidae","Andrena",125,7261709692.12662,7261709692.12662,0,0.693147180559945,22.7058811328419,"Andrenidae (n = 168)",726170.969212662,13.4955407608657,7261.70969212662,8.89037057487758
"89","Andrena minutula","Andrena minutula",15,36,"Andrenidae","Andrena",126,44414351445768.1,44414351445768.1,2.70805020110221,3.58351893845611,31.4245837638995,"Andrenidae (n = 168)",4441435144.57681,22.2142433919233,44414351.4457681,17.6090732059352
"90","Andrena minutuloides","Andrena minutuloides",7,17,"Andrenidae","Andrena",127,11268131494756.7,11268131494756.7,1.94591014905531,2.83321334405622,30.0529996356258,"Andrenidae (n = 168)",1126813149.47567,20.8426592636496,11268131.4947567,16.2374890776615
"91","Andrena miranda","Andrena miranda",5,9,"Andrenidae","Andrena",128,23001416235709.9,23001416235709.9,1.6094379124341,2.19722457733622,30.7665769054277,"Andrenidae (n = 168)",2300141623.57099,21.5562365334515,23001416.2357099,16.9510663474634
"92","Andrena miserabilis","Andrena miserabilis",6,10,"Andrenidae","Andrena",129,17713802301797,17713802301797,1.79175946922805,2.30258509299405,30.5053652426912,"Andrenidae (n = 168)",1771380230.1797,21.295024870715,17713802.301797,16.689854684727
"93","Andrena morio","Andrena morio",5,7,"Andrenidae","Andrena",130,9688774407809.7,9688774407809.7,1.6094379124341,1.94591014905531,29.9019890537297,"Andrenidae (n = 168)",968877440.78097,20.6916486817536,9688774.4078097,16.0864784957655
"94","Andrena mucida","Andrena mucida",4,4,"Andrenidae","Andrena",131,1170629367372.53,1170629367372.53,1.38629436111989,1.38629436111989,27.7885626409419,"Andrenidae (n = 168)",117062936.737253,18.5782222689657,1170629.36737253,13.9730520829776
"95","Andrena nana","Andrena nana",3,8,"Andrenidae","Andrena",132,3175060603126.88,3175060603126.88,1.09861228866811,2.07944154167984,28.7863478356901,"Andrenidae (n = 168)",317506060.312688,19.5760074637139,3175060.60312688,14.9708372777258
"96","Andrena nasonii","Andrena nasonii",10,18,"Andrenidae","Andrena",133,12003348193674.2,12003348193674.2,2.30258509299405,2.89037175789616,30.1162067429383,"Andrenidae (n = 168)",1200334819.36742,20.9058663709621,12003348.1936742,16.300696184974
"97","Andrena nigriceps","Andrena nigriceps",11,17,"Andrenidae","Andrena",135,7874084257534.95,7874084257534.95,2.39789527279837,2.83321334405622,29.6945980091212,"Andrenidae (n = 168)",787408425.753495,20.484257637145,7874084.25753495,15.8790874511569
