bee_species,bee_genus,bee_family,eoo_size_m2,count_in_Dorey,diet_families_rareCount,diet_genera_rareCount,diet_binary
Dufourea paradoxa,Dufourea,Halictidae,1977765208625,240,9.008189,NA,Generalist
Andrena integra,Andrena,Andrenidae,4618522283382,249,1,NA,Specialist
Panurginus herzi,Panurginus,Andrenidae,384050096659,249,1.847682,NA,Generalist
Lasioglossum intermedium,Lasioglossum,Halictidae,3716717157008,257,6.997842,NA,Generalist
Anthidium cingulatum,Anthidium,Megachilidae,15523740712467,263,6.900983,NA,Generalist
Hylaeus nivalis,Hylaeus,Colletidae,249999797358,277,10.983803,NA,Generalist
Hylaeus taeniolatus,Hylaeus,Colletidae,7048495095082,282,3.301992,NA,Generalist
Bombus haematurus,Bombus,Apidae,7669760032084,284,7.727186,13.355,Generalist
Eucera interrupta,Eucera,Apidae,9377715064723,285,1,7.8336,Specialist
Andrena nana,Andrena,Andrenidae,3175060603127,310,2.196078,9.0992,Generalist
Peponapis utahensis,Peponapis,Apidae,2212017995553,312,1,NA,Specialist
Andrena gelriae,Andrena,Andrenidae,7771022211184,315,1,NA,Specialist
Andrena rufizona,Andrena,Andrenidae,1811139234917,320,1,NA,Specialist
Eucera primiveris,Eucera,Apidae,809687653273,320,5.96059,NA,Generalist
Melissodes illatus,Melissodes,Apidae,7838974608863,323,1.948122,NA,Generalist
Melitta dimidiata,Melitta,Melittidae,6272904387673,323,1,NA,Specialist
Panurginus montanus,Panurginus,Andrenidae,215846259212,336,7.500101,NA,Generalist
Andrena synadelpha,Andrena,Andrenidae,3411109185900,339,12.073526,14.968,Generalist
Diadasia laticauda,Diadasia,Apidae,204153399393,342,1,NA,Specialist
Chelostoma grande,Chelostoma,Megachilidae,344129616303,344,1,NA,Specialist
Lasioglossum prasinum,Lasioglossum,Halictidae,3873196161410,346,4.671139,4.6711,Generalist
Lasioglossum paradmirandum,Lasioglossum,Halictidae,3352169865872,348,9.890367,NA,Generalist
Icteranthidium laterale,Icteranthidium,Megachilidae,9563864007305,355,7.62066,NA,Generalist
Rophites algirus,Rophites,Halictidae,6802895099268,369,1,NA,Specialist
Melissodes subillatus,Melissodes,Apidae,10986367809648,372,1,NA,Specialist
Andrena virginiana,Andrena,Andrenidae,5288385688782,380,2,NA,Generalist
Colletes capensis,Colletes,Colletidae,959916972968,384,3.740718,NA,Generalist
Lasioglossum pallens,Lasioglossum,Halictidae,2296807170466,385,3.279991,NA,Generalist
Hylaeus kahri,Hylaeus,Colletidae,5189097315049,386,2.869761,NA,Generalist
Dufourea halictula,Dufourea,Halictidae,2604932044615,386,1,NA,Specialist
Hoplitis ravouxi,Hoplitis,Megachilidae,1883710630801,386,2.998443,NA,Generalist
Colletes validus,Colletes,Colletidae,2691490961173,392,1,NA,Specialist
Osmia andrenoides,Osmia,Megachilidae,6107337590836,398,7.789873,NA,Generalist
Dufourea inermis,Dufourea,Halictidae,4774441706505,407,1,NA,Specialist
Diadasia sphaeralcearum,Diadasia,Apidae,2410679300116,410,1,NA,Specialist
Diadasia nigrifrons,Diadasia,Apidae,2602782284209,412,1,NA,Specialist
Lasioglossum monstrificum,Lasioglossum,Halictidae,3339175159252,415,8,NA,Generalist
Colletes nigricans,Colletes,Colletidae,1246748511264,418,10.969805,NA,Generalist
Hylaeus alpinus,Hylaeus,Colletidae,297866518897,418,11.938756,NA,Generalist
Andrena ampla,Andrena,Andrenidae,1932096436835,439,1,4,Specialist
Hylaeus clypearis,Hylaeus,Colletidae,4343782809666,443,2.20385,NA,Generalist
Colletes consors,Colletes,Colletidae,23073136890041,445,4,NA,Generalist
Rhodanthidium sticticum,Rhodanthidium,Megachilidae,1286096859882,445,10.355544,NA,Generalist
Lasioglossum macoupinense,Lasioglossum,Halictidae,9168945674280,450,5.752271,NA,Generalist
Andrena ceanothi,Andrena,Andrenidae,4800474124523,453,6.948806,NA,Generalist
Dufourea minuta,Dufourea,Halictidae,9585494145180,459,1,NA,Specialist
Scrapter nitidus,Scrapter,Colletidae,846632091894,468,1,NA,Specialist
