"","species","total_area","count"
"511","Megachile flabellipes",210003214789.327,55
"512","Megachile latimanus",27472774401778.7,3021
"513","Megachile maritima",39488599589166.9,1869
"514","Megachile mendica",14815919532211,5989
"515","Megachile nigriventris",9274492055626.27,1148
"516","Megachile pilicrus",4631593701812.42,160
"517","Megachile rotundata",148567967474492,5248
"518","Meganomia binghami",1628504260372,141
"519","Melipona mimetica",15601441447.7586,6
"520","Melissodes desponsus",10426147399681.5,2673
"521","Melissodes illatus",7838974608863.41,323
"522","Melissodes subillatus",10986367809647.8,372
"523","Melitoma segmentaria",20738198761247.7,765
"524","Melitomella murihirta",17711046.4754486,24
"525","Melitta dimidiata",6272904387672.94,323
"526","Melitta haemorrhoidalis",10472629871066.8,5879
"527","Melitta leporina",30977139352969.3,4925
"528","Melitta nigricans",9188174041662.64,4163
"529","Melitta tricincta",5827073658620.67,1305
"530","Melitturga clavicornis",21789776926629,615
"531","Osmia alticola",104522599858.384,49
"532","Osmia anceyi",369059301584.104,62
"533","Osmia andrenoides",6107337590836.05,398
"534","Osmia apicata",1678655650294.7,21
"535","Osmia argyropyga",97615016852.7971,13
"536","Osmia atriventris",12795980370725.7,2094
"537","Osmia aurulenta",9599853623956.04,6059
"538","Osmia avosetta",13582660954.8297,41
"539","Osmia balearica",9084704508.84237,21
"540","Osmia bicornis",36359912255140.8,45020
"541","Osmia bidentata",3935975039018.04,45
"542","Osmia brevis",7668975936698.15,1604
"543","Osmia bucephala",28538445038936.7,2019
"544","Osmia caerulescens",119944980878859,7307
"545","Osmia californica",4076994415989.17,1806
"546","Osmia carbo",2041461106.19971,17
"547","Osmia cerinthidis",5846220213438.6,74
"548","Osmia conjuncta",3847750917233.98,482
"549","Osmia cornifrons",28109394956122.4,2057
"550","Osmia cornuta",12828503421309.5,29693
"551","Osmia croatica",640902988506.961,16
"552","Osmia difficilis",1457967806094.03,22
"553","Osmia distinguenda",13022265422.0312,16
"554","Osmia emarginata",152770073064.045,12
"555","Osmia excavata",453842304313.073,14
"556","Osmia fedtschenkoi",10045890.5220385,6
"557","Osmia gallarum",4210880557238.09,518
"558","Osmia inermis",93787559573327.9,657
"559","Osmia labialis",493698118747.808,190
"560","Osmia laticeps",52735587130656.2,179
"561","Osmia lignaria",17963553998667.1,11039
"562","Osmia ligurica",2399785446714.49,77
"563","Osmia melanocephala",113893568427.763,5
"564","Osmia montana",7398315125903.01,1726
"565","Osmia mustelina",5626401545342.51,476
